_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
11683,0023C00061000000,1609 MEADVILLE ST,2010,2008-12-17,ACT42 ENHANCED RESIDENTIAL,10,250000,Fineview,1,25,1,Northern,Riverview,1,1-10,-80.00510067743808,40.46064452662654
11684,0046R00112000000,1911 MEADVILLE ST,2011,2008-12-17,ACT42 ENHANCED RESIDENTIAL,10,250000,Fineview,1,25,1,Northern,Riverview,1,1-10,-80.00598778473358,40.462815580319976
11685,0046R00114000000,1915 MEADVILLE ST,2011,2008-12-17,ACT42 ENHANCED RESIDENTIAL,10,250000,Fineview,1,25,1,Northern,Riverview,1,1-10,-80.00613325387359,40.462907737196666
11686,0045J00272000000,1508 HODGKISS ST,2011,2010-08-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Marshall-Shadeland,1,27,1,Northern,Riverview,1,1-14,-80.03153240676951,40.46682389542483
11687,0050K00161000000,5020 BROAD ST,2013,2010-12-19,ACT42 RESIDENTIAL,3,86750,Garfield,9,10,2,Central,Highland,5,3-4,-79.94312970759407,40.4663583835877
11688,0022K00379000000,1320 LIVERPOOL ST,2009,2010-12-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02603983701663,40.45533856028378
11689,0049N00316000000,3628 MINTWOOD ST,2014,2014-05-06,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96305958798388,40.46322657892125
11690,0080H00141000000,5222 HOLMES ST,2015,2014-05-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95146616679231,40.47924202287932
11691,0120N00210000000,5614 DUNCAN ST,,2014-05-27,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94562555579938,40.48302441717862
11692,0022K00017000000,1401 COLUMBUS AVE,2014,2014-04-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02757470034139,40.45744165842322
11693,0022L00296000000,1109 LIVERPOOL ST,2016,2014-04-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02192886801701,40.45554233303957
11694,0008D00180000100,418 LOCKHART ST,,2014-04-29,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-20,-80.0006703900484,40.45245314940531
11695,0023M00224000000,910 CEDAR AVE,2018,2014-04-14,ACT42 RESIDENTIAL,3,86750,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00200093233678,40.45530679929135
11696,0006B00091000000,60 CIELO LN,2017,2014-04-28,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02642388627514,40.441370031009015
11697,0001G00224040300,151 FORT PITT BLVD UNIT 403,2010,2009-08-05,ACT42 ENHANCED RESIDENTIAL,10,250000,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.0045964418005,40.43866176643195
