_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
19644,2.02E+11,Gennaro's Pizza,1417,Carson Street,Pittsburgh,PA,15203,South Shore,211,Restaurant without Liquor,1,3/2/2015,3/2/2015,,0,,,1,1,-79.98352792,40.42897965,1417 Carson Street PA 15203
2488,47845,Kmart Little Caesars Pizza #3895,7900,McKnight Rd,Pittsburgh,PA,15237,Allegheney West,212,Chain Restaurant without Liquor,2,11/13/1991,11/13/1991,,46,,,7,,-80.01881156,40.54923116,7900 McKnight Rd PA 15237
2635,57056,Papa John's Pizza,101,Braunlich Dr,Pittsburgh,PA,15237,Allegheney West,212,Chain Restaurant without Liquor,4,1/2/1998,1/2/1998,,0,,,7,,-80.00447935,40.5219558,101 Braunlich Dr PA 15237
5972,54390,Harvey's Pizza,1130,Perry Hwy,Pittsburgh,PA,15237,Allegheney West,211,Restaurant without Liquor,7,10/2/1995,10/2/1995,,0,,,7,,-80.03558315,40.54794586,1130 Perry Hwy PA 15237
13646,2.00E+11,Toscana's Pizza,3324,Babcock Blvd,Pittsburgh,PA,15237,Allegheney West,211,Restaurant without Liquor,0,5/20/2004,5/20/2004,,26,,,7,,-80.01846979,40.53350491,3324 Babcock Blvd PA 15237
16525,2.01E+11,California Pizza Kitchen,1000,Ross Park Mall Drive,Pittsburgh,PA,15237,Allegheney West,202,Chain Restaurant with Liquor,1,10/7/2010,10/7/2010,8/17/2020,130,,,7,1,-80.00847176,40.5429008,1000 Ross Park Mall Drive PA 15237
16647,2.01E+11,California Pizza Kitchen,1000,Ross Park Mall Dr,Pittsburgh,PA,15237,Allegheney West,202,Chain Restaurant with Liquor,1,,,,130,,,7,,-80.00847176,40.5429008,1000 Ross Park Mall Dr PA 15237
22196,2.02E+11,Pizza La Bella ,5439,Babcock  Boulevard,Pittsburgh,PA,15237,Allegheney West,211,Restaurant without Liquor,0,10/21/2015,10/21/2015,1/23/2017,0,,,7,1,-80.02887256,40.54305739,5439 Babcock  Boulevard PA 15237
33619,2.02E+11,Pelegrino's Pizza & Pasta,3275,Babcock  Boulevard,Pittsburgh,PA,15237,Allegheney West,211,Restaurant without Liquor,1,6/15/2022,6/15/2022,,30,,,1,1,-80.01862056,40.53031979,3275  Babcock  Boulevard PA 15237
790,35893,Pizza Hut #605094,7520,McKnight Rd,Pittsburgh,PA,15237,South Shore,202,Chain Restaurant with Liquor,1,6/17/1984,6/17/1984,,140,,,7,,-80.01348668,40.5433217,7520 McKnight Rd PA 15237
812,2.00E+11,Adrain's Pizza,7824,Perry Hwy,Pittsburgh,PA,15237,South Shore,211,Restaurant without Liquor,7,5/13/1999,5/13/1999,,0,,,7,,-80.037198,40.55140313,7824 Perry Hwy PA 15237
1529,10504,Sir Pizza,320,Sewickley Oakmont Road,Pittsburgh,PA,15237,South Shore,202,Chain Restaurant with Liquor,1,6/17/1984,6/17/1984,,88,,,1,1,-80.04972441,40.53826086,320 Sewickley Oakmont Road PA 15237
1804,54475,Little Caesars Pizza,1130,Perry Hwy,Pittsburgh,PA,15237,South Shore,212,Chain Restaurant without Liquor,7,11/6/1995,11/6/1995,,0,,,7,,-80.03558315,40.54794586,1130 Perry Hwy PA 15237
2562,57102,Domino's Pizza,994,Perry Hwy  Unit 1,Pittsburgh,PA,15237,South Shore,212,Chain Restaurant without Liquor,7,1/22/1998,1/22/1998,,0,,,7,,-80.03632552,40.53903775,994 Perry Hwy  Unit 1 PA 15237
2625,57081,Ellioto's Pizzaria,8960,Perry Hwy,Pittsburgh,PA,15237,South Shore,211,Restaurant without Liquor,7,1/15/1998,1/15/1998,,0,,,0,,-80.03695424,40.56967723,8960 Perry Hwy PA 15237
2630,57068,Mascellino's Pizza & Hoagies,4525,McKnight Rd,Pittsburgh,PA,15237,South Shore,211,Restaurant without Liquor,7,1/7/1998,1/7/1998,,0,,,0,,,,4525 McKnight Rd PA 15237
3187,8730,Pizza Roma,8360,Perry Highway,Pittsburgh,PA,15237,South Shore,202,Chain Restaurant with Liquor,1,6/17/1984,6/17/1984,,110,,,1,1,-80.03967644,40.55893672,8360 Perry  Highway PA 15237
4841,51320,Vocelli Pizza,7910,Perry Hwy,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,0,3/2/1994,3/2/1994,9/18/2014,0,,,7,1,-80.03772846,40.55219499,7910 Perry Hwy PA 15237
5426,57224,Babcock Pizza,5439,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,0,3/16/1998,3/16/1998,,16,,,7,,-80.02887256,40.54305739,5439 Babcock Blvd PA 15237
6066,53664,Mamma Lucia's Pizza,3286,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,3,6/14/1995,6/14/1995,,12,,,7,,-80.01779922,40.530904,3286 Babcock Blvd PA 15237
6878,45297,Mamma Lucia's Pizza,303,Northway Mall,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,0,10/12/1989,10/12/1989,12/24/2014,51,,,7,1,,,303 Northway Mall PA 15237
7936,2.00E+11,Adrian's Pizza Express,7824,Perry Hwy,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,7,5/10/2000,5/10/2000,,0,,,7,,-80.037198,40.55140313,7824 Perry Hwy PA 15237
8014,39936,Luciano's Pizza & Sixpack,1411,Duncan Ave,Pittsburgh,PA,15237,Allegheny Center,202,Chain Restaurant with Liquor,1,9/23/1985,9/23/1985,8/7/2021,45,,,7,1,-80.00709604,40.56759667,1411 Duncan Ave PA 15237
8630,2.00E+11,Domino's Pizza,994,Perry Hwy,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,7,4/12/2000,4/12/2000,,0,,,7,,-80.03602773,40.53914403,994 Perry Hwy PA 15237
9181,54680,Vito's Pizza,4801,McKnight Rd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,7,12/18/1995,12/18/1995,,28,,,7,,-80.00879758,40.52637188,4801 McKnight Rd PA 15237
10402,2.01E+11,La Morra Pizza,3286,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,0,4/15/2005,4/15/2005,,0,,,7,,-80.01779922,40.530904,3286 Babcock Blvd PA 15237
10824,2.01E+11,Lupi's Famous Pizza,2311,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,1,2/18/2005,2/18/2005,,0,,,7,,-80.00101356,40.51333953,2311 Babcock Blvd PA 15237
11462,2.01E+11,Pizza Hut #023998,7520,McKnight Rd,Pittsburgh,PA,15237,Allegheny Center,202,Chain Restaurant with Liquor,0,8/23/2007,8/23/2007,8/24/2016,134,,,7,1,-80.01348668,40.5433217,7520 McKnight Rd PA 15237
11668,2.00E+11,Papa John's Pizza,3336,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,7,10/29/2003,10/29/2003,,0,,,7,,-80.01888238,40.53435408,3336 Babcock Blvd PA 15237
12435,2.01E+11,Domino's Pizza,994,Perry Hwy,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,1,10/17/2006,10/17/2006,,0,,,7,,-80.03602773,40.53914403,994 Perry Hwy PA 15237
12464,2.00E+11,Fox's Pizza Den,2311,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,7,5/16/2003,5/16/2003,,0,,,7,,-80.00101356,40.51333953,2311 Babcock Blvd PA 15237
12930,2.01E+11,Toscana's Pizza,3324,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,5/23/2006,5/23/2006,,26,,,7,,-80.01846979,40.53350491,3324 Babcock Blvd PA 15237
13194,2.01E+11,Lupi's Famous Pizza,2311,Babcock Boulevard,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,2/25/2008,2/25/2008,1/12/2018,0,,,7,1,-80.00101356,40.51333953,2311 Babcock Boulevard PA 15237
13737,2.00E+11,Ciao Ciao's Pizza,3286,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,2,3/24/2004,3/24/2004,,8,,,7,,-80.01779922,40.530904,3286 Babcock Blvd PA 15237
13835,2.00E+11,Angelia's Pizza,2311,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,2,8/12/2004,8/12/2004,,0,,,7,,-80.00101356,40.51333953,2311 Babcock Blvd PA 15237
14101,2.01E+11,Portofino's Pizza & Pasta,4846,McKnight Rd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,0,3/7/2006,3/7/2006,,45,,,7,,-80.00739604,40.52891458,4846 McKnight Rd PA 15237
14587,2.01E+11,Maisie's Pizza,1130,Perry Highway,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,6/2/2008,6/2/2008,,0,,,1,1,-80.03558315,40.54794586,1130 Perry Highway PA 15237
14721,2.00E+11,Pizza La Bella,5439,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,0,11/17/2003,11/17/2003,11/5/2015,0,,,7,1,-80.02887256,40.54305739,5439 Babcock Blvd PA 15237
14828,2.00E+11,Adrian's Pizza Express,7824,Perry Highway,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,1,4/22/2004,4/22/2004,,0,,,1,1,-80.037198,40.55140313,7824 Perry Highway PA 15237
15000,2.00E+11,Papa John's Pizza #440,3336,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,1,6/25/2004,6/25/2004,6/16/2017,0,,,7,1,-80.01888238,40.53435408,3336 Babcock Blvd PA 15237
15658,2.01E+11,Firehouse Grill And Pizza,3324,Babcock Blvd,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,6/20/2008,6/20/2008,,26,,,7,,-80.01846979,40.53350491,3324 Babcock Blvd PA 15237
18115,2.01E+11,Adrian's Pizza,605,Thompson Run Road,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,1,10/31/2011,10/31/2011,11/7/2014,33,,,7,1,-79.99087803,40.5391961,605 Thompson Run Road PA 15237
37060,2.02E+11,Pizza Forever,5439,Babcock Boulevard,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,2/15/2023,2/15/2023,,0,,,1,1,-80.02887256,40.54305739,5439 Babcock Boulevard PA 15237
19020,2.01E+11,Vocelli Pizza #19,1130,Perry Highway,Pittsburgh,PA,15237,Allegheny West,212,Chain Restaurant without Liquor,1,4/9/2014,4/9/2014,,28,,,1,1,-80.03558315,40.54794586,1130 Perry Highway PA 15237
19631,2.02E+11,Papa John's Pizza #440,3336,Babcock Boulevard,Pittsburgh,PA,15237,Allegheny West,212,Chain Restaurant without Liquor,1,6/14/2017,6/14/2017,,0,,,1,1,-80.01888238,40.53435408,3336 Babcock Boulevard PA 15237
19692,2.01E+11,Adrian's Pizza,605,Thompson Run Road,Pittsburgh,PA,15237,Allegheny West,212,Chain Restaurant without Liquor,1,11/7/2014,11/7/2014,12/6/2022,33,,,7,1,-79.99087803,40.5391961,605 Thompson Run Road PA 15237
21277,2.02E+11,Imperia Pizza ,5439,Babcock  Boulevard,Pittsburgh,PA,15237,Allegheny West,211,Restaurant without Liquor,0,1/23/2017,1/23/2017,5/23/2017,0,,,7,1,-80.02887256,40.54305739,5439 Babcock  Boulevard PA 15237
21299,2.02E+11,Pizza Forever,5439,Babcock Boulevard,Pittsburgh,PA,15237,Allegheny West,211,Restaurant without Liquor,0,1/6/2017,1/6/2017,2/15/2023,0,,,7,1,-80.02887256,40.54305739,5439 Babcock Boulevard PA 15237
19915,2.02E+11,Pizza Hut #033983,2150,Brownsville Road,Pittsburgh,PA,15210,Allentown,212,Chain Restaurant without Liquor,1,9/5/2017,9/5/2017,,0,,,1,1,-79.98720158,40.39211109,2150 Brownsville Road PA 15210
21123,2.02E+11,Anthony's Pizza ,1820,Brownsville  Road,Pittsburgh,PA,15210,Allentown,211,Restaurant without Liquor,1,12/1/2015,12/1/2015,11/9/2022,40,,,7,1,-79.98784847,40.39656703,1820 Brownsville  Road PA 15210
21166,2.02E+11,Bad Azz BBQ #4 - Pizza,992,Becks Run Road,Pittsburgh,PA,15210,Allentown,119,Mobile – Tier I (Unopened Pre-packaged Food Only),1,9/1/2016,9/1/2016,8/31/2017,,,1,7,1,-79.95685916,40.41070441,992 Becks Run Road PA 15210
17,10557,Anthonys Pizza,1820,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,0,6/17/1984,6/17/1984,7/28/2011,45,,,7,1,-79.98784847,40.39656703,1820 Brownsville Rd PA 15210
290,2.00E+11,Steel City Pizza Express,332,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,7,3/22/1999,3/22/1999,,0,,,0,,-79.98888985,40.41363894,332 Brownsville Rd PA 15210
1454,2.00E+11,Ardolino's Pizza,516,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,3,6/3/1999,6/3/1999,,0,,,7,,-79.99001655,40.41159694,516 Brownsville Rd PA 15210
3217,7776,Pizza Time Shoppe,735,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,3,6/17/1984,6/17/1984,,0,,,7,,-79.99083479,40.40894364,735 Brownsville Rd PA 15210
4699,46780,Desalla Pizza,708,E Warrington Ave,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,1,12/24/1990,12/24/1990,1/1/2020,0,,,7,1,-79.99535819,40.42165662,708 E Warrington Ave PA 15210
5193,53240,Demino's Pizza,158,Midwood St,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,7,3/21/1995,3/21/1995,,0,,,7,,-79.99666503,40.39294765,158 Midwood St PA 15210
5712,54243,Capri Pizza,11,Ormsby Ave,Pittsburgh,PA,15210,Arlington Heights,212,Chain Restaurant without Liquor,1,8/31/1995,8/31/1995,,24,,,7,1,-79.98826038,40.41222822,11 Ormsby Ave PA 15210
6289,47730,Pizza Hut #739515,1107,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,212,Chain Restaurant without Liquor,7,10/18/1991,10/18/1991,,0,,,7,,-79.98968465,40.40529527,1107 Brownsville Rd PA 15210
7642,2.00E+11,DiMatteo's Pizza House,1640,Arlington Rd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,3,12/20/2001,12/20/2001,,0,,,7,,-79.98677129,40.41767828,1640 Arlington Rd PA 15210
7800,53064,Bishop's Pizza,2104,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,212,Chain Restaurant without Liquor,1,1/9/1995,1/9/1995,10/31/2014,0,,,7,1,-79.98689617,40.39313607,2104 Brownsville Rd PA 15210
8534,2.00E+11,Perrone's Pizza,516,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,7,2/15/2002,2/15/2002,,0,,,7,,-79.99001655,40.41159694,516 Brownsville Rd PA 15210
8919,2.00E+11,The Pizza X-Press,1640,Arlington Ave,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,7,4/2/2001,4/2/2001,,0,,,7,,-79.98677129,40.41767828,1640 Arlington Ave PA 15210
9917,56030,Vocelli Pizza,617,Brownsville Rd,Pittsburgh,PA,15210,Arlington Heights,212,Chain Restaurant without Liquor,1,11/19/1996,11/19/1996,,0,,,7,1,-79.99009129,40.41027719,617 Brownsville Rd PA 15210
10148,6870,Di Carlos Pizza,2080,Saw Mill Run Blvd,Pittsburgh,PA,15210,Arlington Heights,211,Restaurant without Liquor,1,1/1/1989,1/1/1989,,0,,,7,,-79.99744043,40.39224359,2080 Saw Mill Run Blvd PA 15210
2403,6116,Beto's Pizza,1473,Banksville Road,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,1,1/1/1989,1/1/1989,,54,,,1,1,-80.03034832,40.41273512,1473 Banksville Road PA 15216
3708,55889,Unique Pizza Factory of Beechview,1611,Broadway Ave,Pittsburgh,PA,15216,Banksville,212,Chain Restaurant without Liquor,2,10/4/1996,10/4/1996,,30,,,7,,-80.02466364,40.4103574,1611 Broadway Ave PA 15216
5231,47050,Pietro's Pizza Pub,2957,Banksville Rd,Pittsburgh,PA,15216,Banksville,201,Restaurant with Liquor,1,2/7/1991,2/7/1991,,48,,,7,,-80.04144607,40.40215672,2957 Banksville Rd PA 15216
5905,54441,Domino's Pizza,802,Wenzel Ave,Pittsburgh,PA,15216,Banksville,212,Chain Restaurant without Liquor,6,10/24/1995,10/24/1995,,0,,,7,,-80.03360956,40.40638773,802 Wenzel Ave PA 15216
7639,2.00E+11,Joe's Pizza,2102,Broadway Ave,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,7,12/6/2001,12/6/2001,,0,,,7,,-80.03011235,40.40537877,2102 Broadway Ave PA 15216
