_id,pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
134740,0012F00260000000,2135 WHARTON ST,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134741,0028K00048000B00,334 COLTART AVE,"PITTSBURGH, PA",2033.71,0,Residential,,,,,,,,,
134742,0049J00089040600,3725 BUTLER ST UNIT 406,"NEWARK, NJ",2899.87,0,Residential,,,,,,,,,
134743,0003L00432000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134744,0004F00279000000,MAPLE TER,"PITTSBURGH, PA",32.41,0,Commercial,,,,,,,,,
134745,0020M00056000000,MARLOW ST,"PITTSBURGH, PA",76.24,0,Residential,,,,,,,,,
134746,0003M00427000000,FREYBURG ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134747,0012F00261000000,2137 WHARTON ST,"PITTSBURGH, PA",428.86,0,Residential,,,,,,,,,
134748,0003M00426000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134749,0049B00225000000,176 41ST ST,"PITTSBURGH, PA",1214.13,0,Residential,,,,,,,,,
134750,0012F00259000000,2133 WHARTON ST,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134751,0028N00080000L00,3109 HAMLET ST,"PITTSBURGH, PA",529.87,0,Residential,,,,,,,,,
134752,0012F00250000000,2132 MERRIMAN WAY,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134753,0012F00249000000,2130 MERRIMAN WAY,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134754,0003M00425000000,FREYBURG ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134755,0003L00436000000,S 11TH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134756,0011K00281000000,2016 WATSON ST,"IRVING, TX",162.02,0,Residential,,,,,,,,,
134757,0020M00060000000,MARLOW ST,"PITTSBURGH, PA",59.1,0,Residential,,,,,,,,,
134758,0028N00080000B00,3109 HAMLET ST,"PITTSBURGH, PA",545.12,0,Residential,,,,,,,,,
134759,0004F00277000000,MAPLE TER,"PITTSBURGH, PA",32.41,0,Commercial,,,,,,,,,
134760,0003M00428000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134761,0049B00301000000,256 44TH ST,"PITTSBURGH, PA",520.35,0,Residential,,,,,,,,,
134762,0025M00346000000,3011 PAULOWNA ST,"PITTSBURGH, PA",66.72,0,Residential,,,,,,,,,
134763,0012F00252000000,2136 MERRIMAN WAY,"PITTSBURGH, PA",428.86,0,Residential,,,,,,,,,
134764,0019G00065000000,HERSCHEL ST,"ALLISON PARK, PA",28.6,0,Residential,,,,,,,,,
134765,0012F00258000000,2131 WHARTON ST,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134766,0083S00292000000,AUBURN ST,"CARNEGIE, PA",70.53,0,Residential,,,,,,,,,
134767,0003L00430000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134768,0049B00300000000,254 44TH ST,"PITTSBURGH, PA",522.24,0,Residential,,,,,,,,,
134769,0003L00434000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134770,0012F00251000000,2134 MERRIMAN WAY,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134771,0049J00089020900,3725 BUTLER ST UNIT 209,"PITTSBURGH, PA",6815.86,0,Residential,,,,,,,,,
134772,0014L00246000000,112 AMANDA AVE,"PITTSBURGH, PA",272.65,0,Residential,,,,,,,,,
134773,0003L00438000000,S 11TH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134774,0020M00058000000,MARLOW ST,"PITTSBURGH, PA",59.1,0,Residential,,,,,,,,,
134775,0004F00275000000,MAPLE TER,"PITTSBURGH, PA",707.14,0,Commercial,,,,,,,,,
134776,0020M00062000000,MARLOW ST,"PITTSBURGH, PA",83.86,0,Residential,,,,,,,,,
134777,0135M00047000000,701 BALDWIN RD,"PITTSBURGH, PA",58.74,0,Residential,Hays,5,31,4,31,4,4-20,-79.93535112728554,40.37966723346148
134778,0091J00015000000,353 BALDWIN RD,"LONG ISLAND CI, NY",1667.76,0,Residential,Hays,5,31,4,31,4,4-20,-79.93232105578792,40.38834826914499
134779,0135D00035000000,558 CALERA ST,"PITTSBURGH, PA",665.2,0,Residential,Hays,5,31,4,31,4,4-20,-79.9329784455614,40.38414501476216
134780,0134A00113000000,642 MIFFLIN RD,"PITTSBURGH, PA",143.74,0,Residential,Hays,5,31,4,31,4,4-20,-79.92926319625148,40.38229949404228
134781,0091J00018000000,355 BALDWIN RD,"HOMESTEAD, PA",762.42,0,Residential,Hays,5,31,4,31,4,4-20,-79.93226623426749,40.38809884223471
134782,0092M00114000000,316 BALDWIN RD,"MADISON, WI",417.42,0,Commercial,Hays,5,31,4,31,4,4-20,-79.9329845704091,40.38923835186077
134783,0135H00090000000,CALERA ST,"PITTSBURGH, PA",81.97,0,Residential,Hays,5,31,4,31,4,4-20,-79.93500538137515,40.38012658922517
134784,0092M00113000000,312 BALDWIN RD,"MADISON, WI",402.18,0,Commercial,Hays,5,31,4,31,4,4-20,-79.93298862882469,40.389327683306114
134785,0134A00140000000,20 HILLBURN ST,"PITTSBURGH, PA",1017.8,0,Residential,Hays,5,31,4,31,4,4-20,-79.93146961765947,40.38301867640249
134786,0135M00053000000,690 GANGES WAY,"PITTSBURGH, PA",330.26,0,Residential,Hays,5,31,4,31,4,4-20,-79.93486128551137,40.379773616145954
134787,0135H00131000000,620 CALERA ST,"PITTSBURGH, PA",1128.37,0,Residential,Hays,5,31,4,31,4,4-20,-79.93355441981335,40.38207266484158
134788,0092S00032000000,444 BALDWIN RD,"PITTSBURGH, PA",116.28,0,Residential,Hays,5,31,4,31,4,4-20,-79.93298990166736,40.386513777414564
134789,0135H00128000000,626 CALERA ST,"PITTSBURGH, PA",895.84,0,Residential,Hays,5,31,4,31,4,4-20,-79.93366057648224,40.38188115862697
134790,0091E00022000000,295 BALDWIN RD,"PITTSBURGH, PA",1025.43,0,Residential,Hays,5,31,4,31,4,4-20,-79.9325893038441,40.38989937233582
134791,0011J00268000000,1840 LOCUST ST,"PITTSBURGH, PA",421.23,0,Residential,Bluff,6,1,3,1,2,2-1,-79.98002274885326,40.43636537960306
134792,0011J00232000000,GIST ST,"PITTSBURGH, PA",343.08,0,Commercial,Bluff,6,1,3,1,2,2-1,-79.97930569924561,40.436896818507776
134793,0011K00065000000,2123 FORBES AVE,"PITTSBURGH, PA",55.28,0,Residential,Bluff,6,4,3,4,2,2-1,-79.9750217267666,40.437462937536864
134794,0002F00320000000,820 5TH AVE,"MIAMI, FL",4574.42,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.9919417982216,40.4386076530068
134795,0011K00207000000,2132 FORBES AVE,"PITTSBURGH, PA",1995.59,0,Commercial,Bluff,6,4,3,4,2,2-1,-79.97469260283941,40.436961462362476
134796,0011K00067000000,2219 FORBES AVE,"MONSEY, NY",1076.26,0,Commercial,Bluff,6,4,3,4,2,2-1,-79.97512895841808,40.437465878341
134797,0011K00156000000,TUSTIN ST,"PITTSBURGH, PA",30.5,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97667766308273,40.43694847817076
134798,0011K00246000000,SENECA ST,"PITTSBURGH, PA",26.68,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97644960856853,40.436672940806716
134799,0011J00177000000,45 MILTENBERGER ST,"CARNEGIE, PA",22.54,0,Residential,Bluff,6,1,3,1,2,2-1,-79.98169743112446,40.4367359708545
134800,0011J00165000B00,49 VAN BRAAM ST,"PITTSBURGH, PA",29.96,0,Residential,Bluff,6,1,3,1,2,2-1,-79.9825189068698,40.43696709606178
134801,0011J00230000000,303 GIST ST,"PITTSBURGH, PA",1302.32,0,Industrial,Bluff,6,1,3,1,2,2-1,-79.97930317546631,40.43681686095473
134802,0011K00171000000,212 SENECA ST,"ALIQUIPPA, PA",703.32,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97619893630866,40.43692253710756
134803,0011K00276000000,304 JUMONVILLE ST,"PITTSBURGH, PA",42076.86,0,Commercial,Bluff,6,1,3,1,2,2-1,-79.97841656327799,40.436579827207375
134804,0002H00022000000,1450 5TH AVE,"MARS, PA",3886.97,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.98527048223907,40.43833291310336
134805,0011K00161000000,2033 TUSTIN ST,"PITTSBURGH, PA",362.16,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97645311921595,40.436945911598855
134806,0011K00162000A00,TUSTIN ST,"PITTSBURGH, PA",24.79,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97634468436961,40.43694311609384
134807,0002G00051000000,1334 5TH AVE,"PITTSBURGH, PA",5083.31,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.98698228889636,40.43837775909048
134808,0002P00120000000,700 2ND AVE,"PITTSBURGH, PA",2735.12,0,Other,Bluff,6,1,3,1,2,2-4,-79.99439872066897,40.43526245236098
134809,0002G00030000000,1208 5TH AVE,"PITTSBURGH, PA",3099.15,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.98856410487873,40.43850911008854
134810,0043R00140000000,SAGAMORE ST,"PITTSBURGH, PA",22.87,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05391456889123,40.46359044253732
134811,0042D00192000000,119 SAGINAW ST,"PITTSBURGH, PA",340.45,0,Residential,Esplen,2,20,5,20,6,1-27,-80.04992656467087,40.46042124821716
134812,0042D00213000000,115 FRUSTUM ST,"PITTSBURGH, PA",326.47,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05061610412592,40.460877491371235
134813,0043R00141000000,212 SAGAMORE ST,"PITTSBURGH, PA",181,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05383388450824,40.46361892433105
134814,0042D00216000000,111 FRUSTUM ST,"PITTSBURGH, PA",32.41,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05045959429779,40.46103387538614
134815,0042C00172000000,TABOR ST,"PITTSBURGH, PA",191.24,0,Residential,Esplen,2,20,5,20,6,1-27,-80.0550107959594,40.461440243326955
134816,0043R00186000000,OREGON ST,"PITTSBURGH, PA",57.18,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05469423606064,40.463040244457474
